sample,amr_sums_adjusted_ercc,amr_sums_adjusted_ercc_and_totalbact
BAL_001,0.019704237,957.9533032
BAL_002,0.012459426,2025688.494
BAL_003,1.22600349,2850.404808
BAL_004,0.03783745,840.586704
BAL_005,0.012052831,362.8605542
BAL_006,0.013214404,445.6478941
BAL_007,0.004589998,138.5342961
BAL_008,0.001498559,5909.011867
BAL_009,0.016726404,368.5964623
BAL_010,0.007752739,218.727428
BAL_011,0.008539443,250.2053002
BAL_012,0.002516039,410.7722739
BAL_013,0.001127472,1148.170971
BAL_014,0.007777663,306.3405302
BAL_015,0.010360386,539.8799499
BAL_016,0.00598008,199.1301096
BAL_017,0.007879677,397.1603785
BAL_018,0.004092438,3518.043673
BAL_019,0.00270934,15500.5025
BAL_020,0.00613024,30890.5268
BAL_021,0.006136299,1139.276401
BAL_022,0.009917816,428.4625285
BAL_023,0.000614741,101940.3519
BAL_024,0.003012042,6083.347241
BAL_025,0.003027454,165.2472493
BAL_026,0.01256913,414.3156652
BAL_027,0,0
BAL_028,0.005005116,188.9205735
BAL_029,0.004918156,213.0181036
BAL_030,0.007485313,375.3948142
BAL_031,0.040394137,169.2869363
BAL_032,0.102459016,303.8318013
BAL_033,0.001338752,115175.1227
BAL_034,0,0
BAL_035,0.002572678,116.6501798
BAL_036,0,0
BAL_037,0.103658739,2324.657436
BAL_038,0.001841756,54.94964381
BAL_039,0.004043507,3963.310769
BAL_040,0.005181843,197.3158697
BAL_041,0.035860097,879.936994
BAL_042,0.00394542,2958.193929
BAL_043,0.011156808,934.3749771
BAL_044,0.016728003,7729.897765
BAL_045,0.005745926,264.0698381
BAL_046,0.001593435,7700.977746
BAL_047,0,0
BAL_048,0.005046937,471.0335058
BAL_049,0.008675665,502.8003441
BAL_050,0.014332215,8134.52253
BAL_051,0.015801948,674.3690831
BAL_052,0.003251985,26956.5906
BAL_053,0.010900529,688.3127616
BAL_054,0.004410527,10927.22125
BAL_055,0.002608834,24401.93745
BAL_056,0,0
BAL_057,0.046344518,2065.860635
BAL_058,0.002600587,3617.736984
BAL_059,0.006035003,789.3989092
BAL_060,0.005472294,648.0389041
BAL_061,0.003970169,890.7926142
BAL_062,0.005981672,1571.963091
BAL_063,0.002358713,218.8094346
BAL_064,254.9618321,2840.17887
BAL_065,0.000101406,1279.417312
BAL_066,0.007839577,1583.895683
BAL_067,0.001535181,14675.86752
BAL_068,0.003421224,39523.33749
BAL_069,0.003084157,59480.47181
BAL_070,0.000416346,138845.1232
BAL_071,0.000590683,133088.2529
BAL_072,0.000565993,12822.14059
BAL_073,0.000958363,65902.94328
BAL_074,0.001802523,131.2632624
BAL_075,1.470588235,109437.4256
BAL_076,5.47E-05,25936.52419
BAL_077,0.000219968,22100.56761
BAL_078,0.000263672,40906.61182
BAL_079,0.002978135,52094.07679
BAL_080,0.000524004,13445.78059
BAL_081,0.002669283,912.1561597
BAL_082,1.06E-05,5572.655186
BAL_083,0.000609208,297805.0522
BAL_084,0,0
BAL_085,0.000116173,34598.16616
BAL_086,0.238655797,1258.635191
BAL_087,0.001147886,13264.35099
BAL_088,1.777408638,313.9534148
BAL_089,0.002897602,89841.08545
BAL_090,0.001376087,147741.8626
BAL_091,0.005219778,30521.1
BAL_092,0.001243206,47.77186874
BAL_093,0.001702334,88.17162507
BAL_094,0.000458388,7578.342015
BAL_095,8.988294314,4472.033658
BAL_096,0.004537924,883.022409
BAL_097,0.001118537,20349.91563
BAL_098,0.000492173,10939.01519
BAL_099,0.00146861,995.763909
BAL_100,0.026167934,451.8006641
BAL_101,0.000643714,90428.65236
BAL_102,0.00075761,59923.69562
BAL_103,0.028645087,160.2113156
BAL_104,0.001324681,585600.5725
BAL_105,0.004765717,4931.069871
BAL_106,0.003464451,253.0554488
BAL_107,0.005157872,582.5898576
BAL_108,0.001507753,11482.79819
BAL_109,0.00103238,37696.66668
BAL_110,0.001245038,335591.0478
BAL_111,0.002921044,228815.4854
BAL_112,0.001575957,267182.02
BAL_113,0.010744601,3074.463087
BAL_114,0.000699038,61080.37092
BAL_115,0.005696766,26595.10152
BAL_116,0.002566544,7289.452308
BAL_117,0.003077644,24477.48811
BAL_118,0.008344502,1328.633431
BAL_119,0.001176179,419186.5036
BAL_120,0.002909318,22963.19623
BAL_121,0.00109903,5376.886398
BAL_122,0.002651937,4241.08663
BAL_123,0.002315519,3987.045576
BAL_124,0.004432083,67052.84819
BAL_125,0.001813066,59.04160893
BAL_126,0.010248902,7276.92363
BAL_127,0.001507704,2098.618371
BAL_128,0.001816752,2634.728775
BAL_129,0.001760563,26265.49837
BAL_130,0.004027029,989.2272694
BAL_131,0.002732528,579901.1507
BAL_132,0.00498761,1900.665589
