"","genus","mass","pctdom","pctbactdom","pcteukdom","pctvirusdom","zscore","tax_id","pathogen","viral_hit","bacterial_hit","eukaryote_hit_alt","sample"
"1","Crocosphaera",0.000301749422451605,0.00144741715270611,0.00146693144602059,NA,NA,12.3990742358715,263510,"no",NA,"cat7",NA,"BAL_001"
"2","Dyella",2.1270479083947e-05,0.000102029213584722,0.000103404786616185,NA,NA,0.877253164945483,231454,"no",NA,"cat8",NA,"BAL_001"
"3","Alteromonas",0.000105612297858062,0.00050659600344714,0.000513426006107208,NA,NA,3.44224464055205,226,"no",NA,"cat7",NA,"BAL_001"
"4","Kosakonia",0.000181049653470963,0.000868450291623666,0.000880158867612355,NA,NA,2.21639390578145,1330547,"no",NA,"cat7",NA,"BAL_001"
"5","Geodermatophilus",0.00238918740797995,0.0114603395335222,0.0116148495355093,NA,NA,3.27797555853487,1860,"no",NA,"cat7",NA,"BAL_001"
"6","Rhizorhabdus",0.00395291743411603,0.0189611647004501,0.0192168019428698,NA,NA,13.2149318949047,1649486,"no",NA,"cat7",NA,"BAL_001"
"7","Lactobacillus",0.0041128776893476,0.0197284543783965,0.0199944363343666,NA,NA,1.66899716883938,1578,"no",NA,"cat8",NA,"BAL_001"
"8","Azospira",0.000150874711225803,0.000723708576353057,0.000733465723010299,NA,NA,4.14604224830105,146937,"no",NA,"cat7",NA,"BAL_001"
"9","Brucella",0.000150874711225803,0.000723708576353057,0.000733465723010299,NA,NA,2.12564740647073,234,"yes",NA,"cat7",NA,"BAL_001"
"10","Jeotgalibacillus",0.0013729598721548,0.00658574804481279,0.00667453807939368,NA,NA,5.25145948898151,157226,"no",NA,"cat7",NA,"BAL_001"
"11","Nibrella",0.000105612297858062,0.00050659600344714,0.000513426006107208,NA,NA,7.75966076485969,1649473,"no",NA,"cat7",NA,"BAL_001"
"12","Nostoc",0.00021171791056786,0.00101555831590752,0.00102925022415769,NA,NA,1.79136795651141,1177,"no",NA,"cat8",NA,"BAL_001"
"13","Azotobacter",0.000411799077645058,0.00197529805893036,0.00200192932112967,NA,NA,2.78410213765337,352,"no",NA,"cat7",NA,"BAL_001"
"14","Arcanobacterium",0.000196137124593544,0.000940821149258975,0.000953505439913388,NA,NA,4.05872456354806,28263,"no",NA,"cat7",NA,"BAL_001"
"15","Methylomonas",0.000165962182348383,0.000796079433988362,0.000806812295311327,NA,NA,5.15143208075591,416,"no",NA,"cat7",NA,"BAL_001"
"16","Trueperella",0.00277609468655477,0.0133162378048962,0.0134957693033895,NA,NA,5.74533723730343,1069494,"no",NA,"cat7",NA,"BAL_001"
"17","Granulibacter",0.000437536662554828,0.00209875487142386,0.00212705059672986,NA,NA,3.92423228460146,364409,"no",NA,"cat7",NA,"BAL_001"
"18","Alcanivorax",0.00449109545686659,0.0215426712200311,0.0218331127172727,NA,NA,4.03448468387659,59753,"no",NA,"cat7",NA,"BAL_001"
"19","Azomonas",0.0337054104878443,0.161676495957273,0.1638562425205,NA,NA,9.7038946987372,69961,"no",NA,"cat3",NA,"BAL_001"
"20","Serratia",0.00172324026409695,0.00826595622362049,0.00837739907475074,NA,NA,2.38870810948439,613,"no",NA,"cat7",NA,"BAL_001"
"21","Salegentibacter",0.000211224595716124,0.00101319200689428,0.00102685201221442,NA,NA,5.73054635215548,143222,"no",NA,"cat7",NA,"BAL_001"
"22","Phietavirus",0.000271574480206445,0.0013026754374355,NA,NA,3.18584070796461,16.6433169770932,1623298,"no","cat0",NA,NA,"BAL_001"
"23","Sediminibacterium",0.000226312066838704,0.00108556286452958,0.00110019858451545,NA,NA,4.18067013127268,504481,"no",NA,"cat7",NA,"BAL_001"
"24","Priestia",0.000754694975393331,0.00362008465027176,0.00366889116991026,NA,NA,3.80259690149008,2800373,"no",NA,"cat7",NA,"BAL_001"
"25","Weissella",0.00846698102659309,0.0406140083714445,0.0411615724724747,NA,NA,2.66259290168485,46255,"no",NA,"cat7",NA,"BAL_001"
"26","Thioalkalivibrio",0.000844898382864495,0.00405276802757711,0.00410740804885766,NA,NA,1.97134524968492,106633,"no",NA,"cat8",NA,"BAL_001"
"27","Mycetocola",0.000150874711225803,0.000723708576353057,0.000733465723010299,NA,NA,3.59773182823474,76634,"no",NA,"cat7",NA,"BAL_001"
"28","Alloprevotella",0.000256487009083865,0.0012303045798002,0.00124689172911751,NA,NA,1.59009159792073,1283313,"no",NA,"cat8",NA,"BAL_001"
"29","Rufibacter",0.000316836893574186,0.00151978801034142,0.00154027801832163,NA,NA,3.38918269789825,1379908,"no",NA,"cat7",NA,"BAL_001"
"30","Skermanella",0.007552759318108,0.0362287135414276,0.0367171544453729,NA,NA,4.14414401168746,204447,"no",NA,"cat7",NA,"BAL_001"
"31","Mobiluncus",0.000120699768980642,0.000578966861082444,0.000586772578408237,NA,NA,11.4233147194449,2050,"no",NA,"cat7",NA,"BAL_001"
"32","Staphylococcus",0.008189269475669,0.0392818949276263,0.0398114992770934,NA,NA,1.32874864597213,1279,"yes",NA,"cat8",NA,"BAL_001"
"33","Actinopolymorpha",0.000165962182348383,0.000796079433988362,0.000806812295311327,NA,NA,6.01829685252359,117156,"no",NA,"cat7",NA,"BAL_001"
"34","Helcobacillus",0.000120699768980642,0.000578966861082444,0.000586772578408237,NA,NA,15.9203424116522,1161125,"no",NA,"cat7",NA,"BAL_001"
"35","Pseudolysobacter",0.000211224595716124,0.00101319200689428,0.00102685201221442,NA,NA,8.01846331677183,2709666,"no",NA,"cat7",NA,"BAL_001"
"36","Pseudomonas",20.092179920102,96.3772046863721,97.6765764932928,NA,NA,1.48613784271253,286,"yes",NA,"cat2",NA,"BAL_001"
"37","Microlunatus",0.00018385397145316,0.000881901909579041,0.000893791842281546,NA,NA,1.5567997679549,29404,"no",NA,"cat8",NA,"BAL_001"
"38","Luteolibacter",0.000150874711225803,0.000723708576353057,0.000733465723010299,NA,NA,3.16896128363243,518753,"no",NA,"cat7",NA,"BAL_001"
"39","Betapolyomavirus",0.000512974018167729,0.00246060915960039,NA,NA,6.01769911504425,1.72368324825655,1891714,"yes","cat0",NA,NA,"BAL_001"
"40","Roseisolibacter",0.000422449191432248,0.00202638401378856,0.00205370402442883,NA,NA,16.6433169770932,2093335,"no",NA,"cat7",NA,"BAL_001"
"41","Acidihalobacter",0.000709111142761273,0.00340143030885936,0.0034472888981484,NA,NA,14.6061094610473,1765964,"no",NA,"cat7",NA,"BAL_001"
"42","Alphatorquevirus",0.00511465271055471,0.0245337207383686,NA,NA,60,1.9756442077155,687331,"no","cat1",NA,NA,"BAL_001"
"43","Candidatus Nitrosacidococcus",0.000105612297858062,0.00050659600344714,0.000513426006107208,NA,NA,4.31605370456515,2796146,"no",NA,"cat7",NA,"BAL_001"
"44","Leuconostoc",0.00760865367378616,0.0364968249051238,0.0369888805263483,NA,NA,3.61322899687728,1243,"no",NA,"cat7",NA,"BAL_001"
"45","Andhravirus",0.00178032159246447,0.00853976120096605,NA,NA,20.8849557522124,14.3394883402267,2732589,"no","cat1",NA,NA,"BAL_001"
"46","Xylella",0.00588411373780631,0.0282246344777692,0.0286051631974016,NA,NA,5.37928857133849,2370,"no",NA,"cat7",NA,"BAL_001"
"47","Gemmatimonas",0.000123919307036263,0.000594410186765174,0.000602424113304572,NA,NA,3.58042948858366,173479,"no",NA,"cat7",NA,"BAL_001"
"48","Luteococcus",0.000407361720309667,0.00195401315615325,0.0019803574521278,NA,NA,5.35048156310688,33983,"no",NA,"cat7",NA,"BAL_001"
"49","Xanthomonas",0.00026149014876371,0.00125430340018287,0.00127121410516572,NA,NA,0.688571157286669,338,"no",NA,"cat8",NA,"BAL_001"
"50","Roseateles",0.000165962182348383,0.000796079433988362,0.000806812295311327,NA,NA,2.62265504720569,93681,"no",NA,"cat7",NA,"BAL_001"
