"","Epithelial...AT1","Epithelial...AT2","Epithelial...Basal","Epithelial...Ciliated","Epithelial...Goblet","Epithelial...Ionocyte","Epithelial...Mucous","Epithelial...Myoepithelial","Epithelial...Neuroendocrine","Epithelial...Resp.Airway.Secretory","Epithelial...Secretory","Epithelial...Serous","Epithelial...SMG.Basal.Duct","Lymphoid...B.cell","Lymphoid...CD4.T.cell","Lymphoid...CD8.T.cell","Lymphoid...NK.NKT","Lymphoid...Plasma.celll","Lymphoid...Regulatory.T.cell","Myeloid...Alveolar.Macrophage","Myeloid...cDC1","Myeloid...cDC2","Myeloid...Inflammatory.Monocyte","Myeloid...maDC","Myeloid...Mast.Basophil","Myeloid...Neutrophil","Myeloid...Patrolling.Monocyte","Myeloid...pDC"
"sample_1",0.0810640813944126,0.0724330442130822,0.0672374337806524,0.0774484667927423,0.0396835728669533,0.0292586572670179,0.0622879958154628,0.0484079256012648,0.0347843961302502,0,0.0295184475530074,0.0100251263383467,0.0525429285036147,0.0459981006116035,0.0419877721902129,0,0.0426669728471189,0.0290578197196483,0.0264712814328148,0.00551557149233644,0.0366425905067009,0.0125599905061529,0.0311473846109153,0.0284796184168799,0.0168048660451566,0,0.0376007357882595,0.0403752195753929
"sample_2",0.0217757350408632,0.0241728131659967,0.0383621941949963,0.0287485054946525,0.0334311250635017,0.0190483366971745,0.0355934736050277,0.0334763648746833,0.0231771312475592,0.0239099220808382,0,0.0129926716090315,0.0623002077790326,0.0205107192982475,0.0104242223028611,0.0385374144607217,0.0453071872053345,0.0239920533391135,0.0102082810425506,0.143377085511217,0.0283654989928227,0.0252031286333645,0.0408924320291173,0.0242481588285707,0.0164941367115522,0.0202405124503202,0.15953847660037,0.0356722117404794
"sample_3",0.0806714236648234,0.0638199650521725,0.0538493530691555,0.0755068614166378,0.0326400387400554,0.031413901848595,0.0743549233853325,0.0525649249608545,0.0440491387151586,0,0,0,0.072630385850885,0.0549343992562493,0.0588211989546258,0,0.0420892086689339,0.040726595336591,0.0286349648465778,0,0.0361255220992922,0.0232613066368544,0.0116005852488093,0.0250734437920045,0.0152176233310994,0,0.041598253832598,0.0404159812926942
"sample_4",0.0144645642202006,0.0234159098377907,0.0290584073758331,0.0183761779794825,0.0148504039629218,0.0164800444654266,0.0313573469894724,0.021038391048215,0.0174935732592926,0.0222305701320464,0,0.0089892034944821,0.0480407016187478,0.0198665085819815,0.0157174492948399,0.0332759816620189,0.0207372981117753,0.0317834357367468,0.0137665325162897,0.29966474261444,0.0211542692934168,0.0261199909849593,0.0429837699829915,0.0122340172007658,0.0179368843682682,0.00201092199360748,0.159198498976371,0.0177544042976159
"sample_5",0.0183401646502166,0.030735767385802,0.0330766084821928,0.0307769019626402,0.0300253092556081,0.015187096162786,0.0375730168497291,0.0284988743416581,0.0189247146792039,0.0282467834032799,0,0,0.0621293210940977,0.0127662593379539,0.00904660581071003,0.0310807646239161,0.027432849490135,0.0282662843148678,0.0130394961560406,0.275483291119825,0.0208166681923563,0.0261194944207869,0.0498629468721998,0.017107250737206,0.0136666734887966,0.00100881750514617,0.117261558148331,0.0235264815145138
"sample_6",0.0117582132763388,0.0198313431079661,0.02624075195929,0.0134822767892211,0.0161407961952318,0.0144047213871447,0.030843979133006,0.019982813992411,0.0163850146277489,0.0272788226818323,0,0.00769816130625381,0.0433309100866812,0.0257728555710959,0.0161995534357157,0.0361540186252971,0.0211368162917218,0.0349706205347695,0.0119266814333019,0.315676651805078,0.0255843505244325,0.0233640855202903,0.0325914782862043,0.0096194677930704,0.016821948194855,0.00478178112201269,0.161681589782716,0.016340296536313
"sample_7",0.0429574447691043,0.0419805704069508,0.0458170851983679,0.060765941353931,0.034563559168205,0.0347194718725645,0.0506260120828846,0.0469182763113217,0.0280749712736273,0.0108893495999007,0,0.000947927084464687,0.0746882714885972,0.0159535130619687,0,0.0509037133222743,0.0232213455948159,0.0280938820039131,0.0224333926152545,0.0569230707556692,0.0350344514070013,0,0.110690489253565,0.0231783221569043,0.0279699679523617,0,0.0876230876917281,0.0450258835746241
"sample_8",0.0739638379691068,0.0699520354372675,0.0702123756981063,0.0649743926657493,0.0238209024760193,0.0303699555775377,0.071792073452795,0.0553117542994015,0.0466341285476442,0,0,0,0.0904662430210327,0.0476834443094349,0.0273197028957747,0,0.0479764319994543,0.0184087415634724,0.0452556861677359,0,0.0356088195001637,0.0091051458721227,0.0283787204518386,0.0269297022277633,0.0166765633266707,0,0.0448511034932214,0.0543082390476873
"sample_9",0.0344088540557861,0.0355425563445535,0.0245319079380217,0.2517716377743,0.139734241956055,0.0111527258272787,0.0641882533354163,0.0186116094485416,0.0082635446722411,0.00256001537165083,0.0677873443955408,0.00869909631457545,0.0514943355017368,0.0273003077625374,0.032012639035712,0.000471433142523454,0.0165512595005963,0.0410947370563491,0.0255389795100728,0.0162371477983986,0.0167892862590369,0.0108026515690683,0.0196669083489425,0.00910972522419753,0.0184170701328308,0.00020533640944801,0.0326518933076759,0.0144045020069128
"sample_10",0.0819806421333408,0.0579499461246063,0.0727841364221011,0.083422063570875,0.0277738036302264,0.0315471079529764,0.0688901000398428,0.0539717918750367,0.0470658380464472,0,0.00536243964140366,0,0.0719983232145048,0.0415039512051791,0.0394372811716959,0,0.0430834959949254,0.0248326923567377,0.0380153381705565,0.000134512984361576,0.0415613041884643,0.0118842669055289,0.0188429147265551,0.0318000248447504,0.012133049705953,0,0.0396918421549598,0.0543331329389711
