,Epithelial...AT1,Epithelial...AT2,Epithelial...Basal,Epithelial...Ciliated,Epithelial...Goblet,Epithelial...Ionocyte,Epithelial...Mucous,Epithelial...Myoepithelial,Epithelial...Neuroendocrine,Epithelial...Resp.Airway.Secretory,Epithelial...Secretory,Epithelial...Serous,Epithelial...SMG.Basal.Duct,Lymphoid...B.cell,Lymphoid...CD4.T.cell,Lymphoid...CD8.T.cell,Lymphoid...NK.NKT,Lymphoid...Plasma.celll,Lymphoid...Regulatory.T.cell,Myeloid...Alveolar.Macrophage,Myeloid...cDC1,Myeloid...cDC2,Myeloid...Inflammatory.Monocyte,Myeloid...maDC,Myeloid...Mast.Basophil,Myeloid...Neutrophil,Myeloid...Patrolling.Monocyte,Myeloid...pDC
healthy_001,0.0472506,0.078527618,0.065251714,0.073027496,0,0.029218912,0.060444191,0.036176623,0.079572418,0,0.045734044,0.003231955,0.067621052,0.043295135,0.004395335,0.036646461,0.029730931,0.030023144,0.0608207,0.006098044,0.034744151,0.024492775,0.013970809,0.005019382,0.033823849,0.007757969,0.032543397,0.050581293
healthy_002,0.027657767,0.02326794,0.063548477,0.08447105,0.030730026,0.020007042,0,0.021259494,0.022161208,0.00266649,0.094607265,0.072353423,0.017208808,0.03059426,0.021088665,0.042336178,0.00334535,0.030502714,0.029249559,0.139710745,0.010534526,0.022077238,0.022383131,0.019825509,0.046207806,0.00889364,0.071208143,0.022103546
healthy_003,0.014192859,0.011701892,0.047481419,0.103370137,0.001641414,0.022155201,0.001663708,0.030378378,0.030288055,0.015869825,0.117049252,0.071365421,0.01140149,0.023346236,0.013790493,0.077087687,0.007436481,0.018213215,0.006255831,0.119100521,0.012832645,0.055888306,0.004111602,0.005675685,0.045845579,0.033249121,0.075544633,0.023062917
healthy_004,0.053686944,0.076676208,0.05698711,0.097267831,0,0.038136014,0.039331105,0.026112078,0.078207419,0,0.025829843,0.016687177,0.014927935,0.111873233,0.044103011,0.018273427,0.00349249,0.064933243,0.058136443,0.011894365,0.040070661,0.05067437,0,0,0.049806744,0.001463495,0.01043905,0.010989803
healthy_005,0.015905023,0.030476782,0.029696639,0.058365709,0.00113657,0.024042312,0.004752686,0.030795267,0.023461305,0.000450143,0.023929792,0.029365615,0.017861846,0.034400798,0.030737324,0.088121972,0,0.031029819,0.008817241,0.225659729,0.022169877,0.044168466,0.001594152,0.011878683,0.043713565,0.023781338,0.123473592,0.020213754
healthy_006,0.017106265,0.029681643,0.011627971,0.057626965,0.01482942,0.020253799,0,0.029300446,0.035872561,0,0.055215567,0.03003178,0.035840459,0.039415228,0.040475049,0.091885572,0,0.038633432,0.015820173,0.129320059,0.017132051,0.044388342,0.035503582,0.004777485,0.052105659,0.066372304,0.070087464,0.016696726
healthy_007,0.012180831,0.017869209,0.025056837,0.040132052,0.030778205,0.013784009,0.012450735,0.022273658,0.029552931,0.006602243,0.034756511,0.036328602,0.008664618,0.024157412,0.018858142,0.09269213,0.008318013,0.025817988,0.027500087,0.155196211,0.009676751,0.071892479,0.024639524,0.00724264,0.033256205,0.087630119,0.10256552,0.020126339
healthy_008,0.010417534,0.018003374,0.040558759,0.058355613,0.019631586,0.019138172,0.019840849,0.014244106,0.022626565,0.018584665,0.034102831,0.016216709,0.022067848,0.035667179,0.021232233,0.065869207,0.004809651,0.028265288,0.01300354,0.271722014,0.016842163,0.040441177,0,0.012000196,0.031339124,0.021561712,0.108936462,0.014521445
healthy_009,0.026263765,0.024688867,0.042041242,0.071425035,0.051282741,0.022899017,0,0.032539172,0.036222813,0,0.049610095,0.07798882,0.037382744,0.028020764,0.025764057,0.057263144,0.014431776,0.031311938,0.041997798,0.096485061,0.025076424,0.032924092,0.010777609,0.012574716,0.035207185,0.028167007,0.062272403,0.025381715
healthy_010,0.024839995,0.033481619,0.028947112,0.089076366,0.010043967,0.018748522,0.017571389,0.025360009,0.026855606,0.013701897,0.032511483,0.037308585,0.024992466,0.047801999,0.047379782,0.058530587,0.000298658,0.042031573,0.036123332,0.139375533,0.025775788,0.062326243,0,0.001351635,0.040918465,0.016986838,0.084684093,0.012976458
