,total_genusmass,simpson,shannon,richness,Bacteria,Eukaryota,Viruses
healthy_001,1.925887998,0.478356882,0.92478827,36,27.38793425,0.011206575,56.87990288
healthy_002,3.020076719,0.847724278,2.232447923,129,837.9102667,0.397398587,0
healthy_003,1.208946009,0.252662958,0.566657553,31,16.05660268,0.107732038,0
healthy_004,0.99300803,0.791962173,1.973341818,26,9.392440702,0,0.411725135
healthy_005,-0.440130133,0.823512442,2.626556765,33,0.305250616,0.046710776,0.000727393
healthy_006,2.060349526,0.767491229,2.106715883,100,114.0856527,0.046426852,0.151354528
healthy_007,1.428962768,0.881100695,2.559763581,80,23.47656617,0.034243605,2.046484564
healthy_008,1.292037683,0.783129324,2.047452761,67,19.18602991,0.102408216,0.003764054
healthy_009,2.959682923,0.832972564,2.168858804,95,890.3383436,0,16.6724013
healthy_010,1.143470529,0.813704239,2.161815496,53,8.851888025,4.882776395,0.001925613
healthy_011,1.345291865,0.789795795,2.033862269,96,21.7521142,0.207023406,0.002198479
healthy_012,1.429753581,0.838601454,2.314773137,94,26.21466694,0.402962862,0
healthy_013,1.206782335,0.787326494,2.148035014,72,6.256952169,9.729631563,0
healthy_014,1.440581337,0.525914153,1.433497642,78,26.76246416,0.497134736,0.001237313
healthy_015,0.06129666,0.89223474,2.570693297,29,0.621585884,0.476079511,0
healthy_016,0.083740735,0.943865004,3.259474233,45,0.814694988,0.299209922,0
healthy_017,0.497132219,0.850348891,2.47043658,53,0.519408427,1.033745443,0.006167932
