"","HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM"
"sample_1",-0.356040275,-0.200974271,-0.448087968,0.098252772,0.117168296,0.26676298,-0.400963465,0.122678694,-0.315474227,-0.044638091,-0.263425938,-0.42207837,-0.34209197,0.249679259,-0.177380036,-0.157604387,-0.291461219,-0.372697149,-0.271050173,0.294783158,-0.23686823,-0.260855666,-0.232967306,-0.422284732,-0.287423503,-0.660764325,-0.534209501,0.368017945,-0.067202138,-0.363579648,-0.499489963,-0.576775051,-0.355166944,0.160310623,-0.233845912,-0.512228188,-0.408122096,0.385228193,-0.249657299,-0.387786857,-0.579442327,-0.45226701,0.175302598,-0.425521617,-0.507090978,-0.487829866,-0.130462716,-0.279741834,0.034032208,-0.183646495
"sample_2",0.149354289,0.103645892,-0.302662297,-0.073363929,0.118308226,-0.144139946,0.075441772,-0.099687945,0.073431884,0.167465866,0.183880868,-0.076559457,-0.326740423,0.02166481,-0.148268838,-0.125162665,-0.12800089,-0.250153434,0.088314764,-0.223346803,-0.007025246,0.122370495,0.15390555,0.391411746,0.129446265,0.365313464,0.192019373,0.024583189,0.0225446,-0.140767762,-0.019884834,-0.286442506,-0.118023635,0.094420117,0.393497202,-0.08006449,-0.007366111,-0.116941789,-0.046820865,0.082059948,-0.160532461,0.195909683,-0.061229687,0.252276363,0.270554586,-0.082682125,-0.048870622,0.086334547,0.012774231,0.060465168
"sample_3",-0.379352511,-0.275160282,-0.490290112,0.017778496,-0.042367742,0.061193165,-0.43415513,-0.010841794,-0.420552951,-0.232625075,-0.378721341,-0.408282338,-0.219121901,0.083175038,-0.323948103,-0.310147733,-0.411442932,-0.324923083,-0.306572201,-0.027648233,-0.338059299,-0.309354144,-0.317378259,-0.455028078,-0.363009375,-0.655858913,-0.548644738,0.285918125,-0.142390629,-0.375111348,-0.483855852,-0.60472208,-0.334735708,0.168887126,-0.297580166,-0.558554337,-0.482437991,0.251186216,-0.366656355,-0.478502534,-0.579858952,-0.553660555,0.283457834,-0.475856024,-0.574726851,-0.522543593,-0.205470868,-0.330897066,-0.044286612,-0.243545897
"sample_4",0.374258858,0.213039115,-0.142600769,-0.01274302,-0.008166527,-0.222022195,0.143678582,-0.138067627,0.311923444,0.133021954,0.260946061,0.269142009,0.139231647,-0.036832735,-0.20674333,-0.196545341,0.226504956,0.087699627,0.014721466,-0.26573606,0.118373354,0.089398469,0.142136859,0.366017,0.11408812,0.264715301,0.178870609,-0.32792779,-0.05068466,0.103157338,0.252054204,0.411514889,0.355093977,-0.011132184,0.298055372,0.428932628,0.098451493,-0.010506864,0.128374493,0.261060338,0.26689866,0.396977539,-0.191355828,0.273060723,0.087281649,0.37000864,-0.166740678,0.243785773,0.043126642,0.138562408
"sample_5",0.411537469,0.258694914,-0.111817555,0.233549572,0.04717577,-0.113672294,0.283661379,-0.071875169,0.26198593,0.237935093,0.32493995,0.300777957,-0.024625974,0.092727645,-0.018262713,-0.02450313,0.301368848,-0.049086319,0.081465701,-0.236525948,0.181575048,0.134813654,0.255677903,0.339801885,0.128574961,0.430206553,0.280599075,-0.270509102,0.034283284,0.030625826,0.348401777,0.32964293,0.463787692,0.112465326,0.325552125,0.408477153,0.301967859,-0.144588618,0.154266248,0.269682077,0.303738916,0.549134606,-0.319382323,0.381213637,0.251567688,0.397612324,-0.108889529,0.373426005,-0.004956843,0.183037945
"sample_6",0.412227345,0.281059308,-0.021362941,0.009661832,0.050054144,-0.058468413,0.131211632,-0.072797255,0.295453293,0.086113348,0.259121796,0.33301005,0.270696875,-0.065653164,-0.24456794,-0.262804367,0.331155149,0.133887681,0.031184029,-0.269545023,0.163859174,0.059272505,0.125511066,0.358909425,0.081068156,0.459919954,0.352390754,-0.344733242,0.010169212,0.180099736,0.397204338,0.519038845,0.376124758,-0.067595778,0.273119407,0.50093861,0.082163084,0.198119345,0.147046662,0.321548186,0.403141634,0.498029327,-0.188093154,0.237615955,0.008746214,0.375476472,-0.175963451,0.171816969,-0.080452011,0.183154577
"sample_7",0.105055788,-0.097428378,-0.259973226,0.094374719,0.129296643,0.044749944,-0.115098334,0.023029867,-0.135740189,-0.083760546,-0.046577125,-0.00341855,-0.271498152,0.164127064,-0.120618504,-0.118997485,-0.106804067,-0.313779603,-0.041158589,0.024674617,-0.058118606,0.07343973,0.102731607,-0.044404098,-0.145531541,-0.486313497,-0.334101428,0.073113165,-0.142317957,-0.279168046,0.036655277,-0.122938491,-0.047349671,0.294050988,0.015311971,0.079942821,-0.004262785,0.232547615,-0.036208221,0.147286895,-0.327401302,0.193734698,-0.038637065,0.033235361,-0.178956433,-0.118039299,-0.264413525,0.153402547,0.188667781,0.021738589
"sample_8",-0.337815509,-0.236556902,-0.50124197,-0.023360298,0.131119909,0.268819248,-0.424357972,0.023919071,-0.327129848,-0.128270658,-0.331821402,-0.302413528,-0.302726395,0.093763073,-0.223686588,-0.145659134,-0.363412307,-0.278397119,-0.267835248,0.310420412,-0.262305845,-0.18809324,-0.173458795,-0.405748404,-0.32773255,-0.574086479,-0.508321441,0.36274693,-0.087026365,-0.290773754,-0.469783783,-0.545717094,-0.17995783,0.261643148,0.137160579,-0.495422789,-0.363168562,0.415304023,-0.281151973,-0.33039743,-0.581727534,-0.476076606,0.246119405,-0.321774177,-0.49791161,-0.444838597,-0.20332749,-0.261073778,0.273260265,-0.241416249
"sample_9",0.218158405,-0.371316606,0.303798451,-0.352324208,-0.059871363,-0.192867662,-0.038405632,0.055382501,0.513259964,-0.203345527,-0.136119884,0.291121243,-0.080296391,-0.266258722,0.08787001,-0.006130306,0.251006106,-0.001104302,0.104222011,-0.119725786,0.158664611,-0.015106729,-0.254340802,-0.360387542,-0.386205866,-0.113233494,-0.264133654,-0.329602317,-0.273848641,0.224492219,0.28805719,0.384939101,0.081237986,-0.144597117,-0.173492879,0.338333453,0.062846054,-0.232441043,0.323684755,0.212551387,0.464392023,0.29955823,-0.118329206,0.085013194,-0.374244135,0.446317809,0.166287029,-0.018126689,-0.009206855,-0.04164951
"sample_10",-0.39765951,-0.231534229,-0.503395307,0.038876529,0.058442876,0.140731826,-0.442425066,-0.02154792,-0.355802622,-0.019402388,-0.363138473,-0.419903348,-0.318724226,0.112283983,-0.178248934,-0.215746566,-0.399483591,-0.309189952,-0.261940472,0.302503524,-0.293117265,-0.279920337,-0.232776548,-0.444373227,-0.304747568,-0.631150098,-0.54662043,0.392630502,-0.204442506,-0.370634118,-0.527598656,-0.618206767,-0.282985182,0.282304356,-0.238642734,-0.559986033,-0.401245962,0.300321251,-0.292799923,-0.448595983,-0.586857365,-0.50930587,0.335072319,-0.419118647,-0.504564868,-0.462408431,-0.16254604,-0.296184741,0.038685679,-0.244895974
"sample_11",-0.339498909,-0.20614053,-0.474520834,0.088950578,0.039399803,0.2544994,-0.437643627,-0.034549774,-0.369830332,-0.048329153,-0.368879206,-0.420731063,-0.297483321,0.120444221,-0.128568528,-0.141770013,-0.324467455,-0.380607518,-0.238233221,0.288233548,-0.253679281,-0.239393043,-0.28184861,-0.401361093,-0.361272537,-0.646104883,-0.571068172,0.429422197,-0.184751528,-0.39765267,-0.559766014,-0.621165542,-0.194013037,0.275040758,-0.124368201,-0.560430872,-0.412672583,0.328115257,-0.323244149,-0.441194247,-0.626459417,-0.502390762,0.252136985,-0.471759337,-0.487603194,-0.471999581,-0.24514592,-0.297870618,0.199981356,-0.165788954
"sample_12",0.39938417,0.230875385,-0.108540845,0.106060471,-0.057821408,-0.295655639,0.188231246,-0.03722471,0.393060575,0.00413336,0.283201362,0.438766442,0.350581394,-0.125959212,-0.300394396,-0.238086004,0.28473017,0.233811432,-0.015214117,-0.37135753,0.107080861,0.064755753,0.190412847,0.477047033,0.219759286,0.569518833,0.447399381,-0.405445229,-0.018307773,0.271274936,0.400666868,0.494821144,0.415436231,-0.081869075,0.06212603,0.520417994,0.222306075,-0.175886732,0.124978418,0.360402625,0.249382188,0.504950814,-0.276567459,0.225336646,0.293180359,0.373770387,-0.278765433,0.252937264,-0.010450097,0.061107605
"sample_13",-0.355613745,-0.249838288,-0.549949414,0.043047254,0.041611033,0.084578633,-0.406561186,0.024270866,-0.30797099,-0.001071678,-0.324020657,-0.403015856,-0.31328101,0.132067937,-0.097194274,-0.163273931,-0.387705013,-0.374412328,-0.274504451,0.28063454,-0.25832688,-0.194266845,-0.248256862,-0.421064511,-0.319046292,-0.643797073,-0.561725146,0.38877813,-0.215701623,-0.390623389,-0.534068493,-0.602065133,-0.244423833,0.27133753,0.133673158,-0.569663016,-0.359878736,0.314724076,-0.308524807,-0.370166594,-0.615198419,-0.514477315,0.21795334,-0.494928167,-0.516678044,-0.516181091,-0.272238178,-0.274311661,0.294123428,-0.237157904
"sample_14",0.256874974,0.059846177,-0.105073844,0.249846706,0.165693684,-0.226317134,0.221262846,-0.092256122,0.035354884,0.095198608,0.117704913,0.086818541,0.32841462,0.094194245,-0.00117747,-0.069230867,0.024732232,0.230850743,0.072339867,-0.206896199,0.07929219,0.168603805,0.210351146,0.230585071,0.033811214,0.245293561,0.174686479,-0.241580865,0.018590117,0.281102612,0.210636419,0.381619643,0.356338131,0.104777873,0.395939728,0.202767637,0.198909372,0.29948786,0.037202426,0.275410604,0.014443001,0.404151582,-0.052814865,0.276518121,0.217452124,0.335950005,-0.102277369,0.226658889,0.244483785,0.096531743
"sample_15",-0.396624087,-0.261657394,-0.504865444,-0.050212287,-0.051313809,0.051272915,-0.46061693,0.017790571,-0.430799645,-0.17296407,-0.342035148,-0.426654799,-0.216960061,0.114196683,-0.245593096,-0.252318297,-0.38455324,-0.303102608,-0.309641235,0.14273064,-0.314547732,-0.328882555,-0.325000213,-0.468530343,-0.324640906,-0.65840648,-0.541290408,0.332875248,-0.093324774,-0.37391944,-0.538308024,-0.599395218,-0.307951982,0.201811424,-0.373120927,-0.554846896,-0.496600872,0.281745528,-0.305847025,-0.422294242,-0.580606527,-0.609815122,0.328610667,-0.540749626,-0.561929608,-0.565338076,-0.136296992,-0.357890158,-0.094024573,-0.198870451
