"","Epithelial...Basal","Epithelial...Ciliated","Epithelial...Club","Epithelial...Deuterosomal","Epithelial...Duct","Epithelial...Goblet","Epithelial...Hillock","Epithelial...Secretory","Epithelial...Squamous","Epithelial...Transitional","Lymphoid...B.cell","Lymphoid...CD4.T.cell","Lymphoid...CD8.T.cell","Lymphoid...Naive.T.cell","Lymphoid...NK.NKT","Myeloid...Dendritic","Myeloid...Macrophage","Myeloid...Mast","Myeloid...Monocyte","Myeloid...Neutrophil"
"sample_1",0.0250759134668573,0.0343642673592746,0.178996139776706,0.101212326738513,0.0294110748955067,0.147901789954122,0,0,0.0306049514669264,0.0994031078418927,0.0428768898454815,0.0331823509409037,0.0363446804874082,0.0196513873052912,0.0422368378361249,0.0579446359265812,0.0238608935532166,0.00742192217896825,0.0326475965048951,0.0568632339213307
"sample_2",0,0.0266977682518181,0,0.0830984623468769,0.00857054014421323,0,0.0474546306150434,0.120481914800927,0.0166663449205496,0.00289535055186164,0.0238477641069483,0.0526049243048031,0.0698767681396158,0.00622961118146336,0.0743466316833418,0.0948245332093321,0.0174174780475193,0.0274685375904336,0.0534313290420311,0.274087411063222
"sample_3",0.0352820242760436,0.0497988039656919,0,0.108633416468727,0.00943979207629645,0.0210660542437111,0.0216830336118666,0.135434147400626,0,0,0.0608211665521062,0.113289486648088,0.0630112856864237,0,0.121513772780435,0.0982623917194941,0.0913537924629014,0.0574247200732354,0,0.012986112034354
"sample_4",0.044107534131083,0.0163550439915107,0.0134697673355558,0.0950808586453786,0.039799787876205,0.0698741989443096,0.0237991824515945,0.167131924191989,0.0546557633907423,0.0478207784164595,0.0384559922007058,0.0354985436987357,0.0642216246853493,0.0235395705135032,0.0550469224279234,0.0566489132348224,0.0608880520261695,0.0115052501061917,0.0282120984179456,0.0538881933138253
"sample_5",0.00461257782482694,0.0107290523946821,0,0.0570036099564859,0.0270789902705261,0.0814259262904746,0.133254424626874,0.0985146128710266,0.196582754239013,0.0260236673475446,0.0265369979633985,0.0473871243300288,0.0267374654716897,0.000875169466242034,0.0594107907108364,0.0549501400307475,0.0627219684778482,0.0278906529372506,0.0338603536970079,0.0244037210934958
"sample_6",0,0.00886735364210638,0.0295447284940983,0.0492266177405517,0.00710052623819591,0.225787679780319,0.0983966040807329,0.0795677306965797,0.0953162306672694,0.0882870446383425,0.028901720334666,0.0343552570810861,0.0232988870397446,0.0185887305191733,0.0380000119494933,0.0546009359201993,0.0442932687905637,0.0181786607110745,0.0276237528767237,0.0300642587990798
"sample_7",0.0246861866716303,0.0398186038926002,0,0.129353165650274,0.00620624858790409,0,0.0052316090033499,0.180783298179619,0.0840186458601452,0,0.0593051101138562,0.0862001545077766,0.0488343455649576,0,0.0851689032019003,0.0959761101099224,0.0657458658153646,0.0625682164552136,0.000461003187536811,0.0256425331979502
"sample_8",0.0121677785491064,0.123454969392416,0.0300240489363471,0.0934663636908763,0.00201867303568358,0.0348316400972954,0.0513086715514036,0.0888026143273935,0.0341304172022772,0.220209309186486,0.0419133668968536,0.0350065577638187,0.01854309995571,0.022690874368018,0.0522187918583485,0.0479949907753726,0.0407788299443176,0.0216402792809096,0.0155414394667534,0.0132572837206129
"sample_9",0.0285354473857469,0.146586523009826,0,0.0562380162596206,0.0527949707545842,0,0.049982924930825,0.185819749682433,0.0572768221909118,0.0640875565214796,0.0423193795817695,0.040426477111381,0.0294444980899558,0.0172684371991059,0.0579025103287113,0.064986447498855,0.0601889536825084,0.0235186807519431,0.00413711987593387,0.0184854851444089
"sample_10",0.0514470853970652,0.0974768312337416,0.076635091170187,0.111092269897488,0.00550489561810617,0,0,0.132082225136941,0.0124394759842541,0.216009335280631,0.0345247094702239,0.0425762772743031,0.00203529348814653,0.00904068734038658,0.0643845124998436,0.0567649210223919,0.0486653309651815,0.0244449433484181,0.00729579717592134,0.00758031769676906
