sample_id,Epithelial...Basal,Epithelial...Ciliated,Epithelial...Club,Epithelial...Deuterosomal,Epithelial...Duct,Epithelial...Goblet,Epithelial...Hillock,Epithelial...Secretory,Epithelial...Squamous,Epithelial...Transitional,Lymphoid...B.cell,Lymphoid...CD4.T.cell,Lymphoid...CD8.T.cell,Lymphoid...Naive.T.cell,Lymphoid...NK.NKT,Myeloid...Dendritic,Myeloid...Macrophage,Myeloid...Mast,Myeloid...Monocyte,Myeloid...Neutrophil
healthy_001,0.038248453,0.068856984,0.090303761,0.049258688,0.045096411,0.072584391,0.044730467,0,0.057124561,0.012817525,0.047852796,0.034412483,0,0.059243848,0.095813932,0.034013636,0.057982532,0,0.131518537,0.060140994
healthy_002,0.002875603,0.04242518,0.001625194,0.082773019,0.179660657,0.106332612,0.002321955,0.073045532,0.11951157,0.11453691,0.044378739,0.028802854,0,0.044951138,0.043172429,0.03522563,0.043991197,0.011456688,0.000260221,0.022652872
healthy_003,0.001804175,0.047953006,0.036903644,0.048217877,0.091780514,0.216263338,0.084280549,0.040275579,0.100570138,0.040464865,0.05661359,0.030258119,0.022867905,0.045239173,0.00874025,0.032408764,0.02856408,0.015740161,0.025560086,0.025494186
healthy_004,0.003831126,0.029101576,0.092009921,0.03741641,0.079583513,0.199946702,0.087112147,0,0.067467933,0.03496459,0.032914847,0.036132069,0.029815433,0.024703689,0.071900483,0.031829349,0.058652056,0,0.070745067,0.011873089
healthy_005,0.024543246,0.027519197,0,0.047590373,0.069845392,0.276084306,0.049674149,0.033496777,0.108507555,0.07202028,0.030612194,0.033402844,0.02062513,0.052529485,0.026834727,0.03249117,0.017180105,0.01022067,0.019998269,0.04682413
healthy_006,0,0,0.087771206,0.048977642,0.04778143,0.244204236,0.068167529,0,0.069215886,0.122279221,0.042721909,0.028321775,0.032100191,0.047547193,0.03776036,0.028938146,0.033601382,0.001828466,0.032269358,0.026514073
healthy_007,0.018601392,0.035695262,0.129208446,0.057388825,0.129375669,0.176479502,0,0,0.046565686,0.133028869,0.039995476,0.025094879,0.03792314,0.041124867,0.00665488,0.041661159,0.035485892,0.001226266,0.030255256,0.014234533
healthy_008,0.017504475,0.002032512,0.01604802,0.032064331,0.028708066,0,0.07554576,0,0.040106065,0,0.02772529,0.021431232,0.016955465,0.04230465,0.035209666,0.035433367,0.057644848,0,0.14758262,0.403703632
healthy_009,0.004034675,0.01592294,0.035213019,0.031755533,0.050369276,0.340594059,0.050144343,0.021610997,0.07493017,0.02278529,0.027027251,0.029519144,0.033977572,0.035367354,0.044941656,0.038254008,0.034456074,0.009740379,0.045941847,0.053414411
healthy_010,0.023841705,0.036656639,0,0.045220954,0.085923602,0.20387457,0.08073156,0.088073004,0.146677413,0.016714504,0.036957186,0.033896072,0.011394704,0.047869217,0.024847374,0.031611363,0.035491408,0.012053961,0.025007374,0.013157388
healthy_011,0,0.017696118,0.037070668,0.067327599,0.112566822,0.121669598,0.148486938,0,0.090037236,0.046109576,0.041317019,0.040363253,0,0.05928563,0.024749995,0.041697096,0.00404728,0.005100857,0.038071859,0.104402456
healthy_012,0,0.029753571,0.027379534,0.067637812,0.148259506,0.183003158,0,0.061129367,0.051839332,0.188337105,0.030267032,0.012454112,0.011190496,0.057497826,0.022569128,0.03908092,0.017859625,0.008368546,0.028706856,0.014666075
healthy_013,0,0.00924842,0.059020849,0.031304234,0.028895714,0.030717507,0.078383819,0,0.107834241,0.025074766,0.045016305,0.011890603,0.035090082,0.034353975,0.037484169,0.0549683,0,0.000980896,0.028217245,0.381518872
healthy_014,0.042334869,0.032777659,0.072791678,0.044913394,0.113963527,0.182774251,0.066757484,0,0.084488872,0.091362916,0.042066929,0.028420367,0.016374385,0.049117421,0.023876765,0.03601164,0.007780637,0.006316455,0.025175933,0.032694819
healthy_015,0.01269842,0.001834635,0,0.053819272,0.052377836,0.316406145,0.078875756,0.088776049,0.093242104,0.04258977,0.023871137,0.030419422,0.034587376,0.038969969,0.025778065,0.029844523,0.035054217,0.008356887,0.016358173,0.016140244
healthy_016,0.06024136,0.044659679,0,0.048635848,0.083238157,0.288775287,0.000408496,0.084923472,0.065195498,0.074658606,0.039251577,0.014351905,0.023487071,0.035027544,0.040040301,0.030084961,0.031769103,0.009126894,0.018002001,0.00812224
healthy_017,0.016863978,0.048960817,0.084713257,0.034609782,0.124131772,0.107854883,0.06330854,0,0.075495958,0.166383402,0.035249728,0.021097017,0.031395881,0.046016572,0.021351521,0.032814623,0.032944498,0.010412525,0.032315666,0.014079579
