,total_genusmass,simpson,shannon,richness,Bacteria,Eukaryota,Viruses
healthy_001,2.100631578,0.850211196,2.08908458,59,108.3042017,0.018988494,12.85029878
healthy_002,2.105800811,0.649861084,1.126309972,53,127.5189303,0.055048384,0
healthy_003,2.108898463,0.573005978,1.171242742,60,96.55562032,31.69885351,0.018036481
healthy_004,1.610640494,0.424605879,0.712206545,21,11.89234472,0.012684066,28.88427412
healthy_005,2.070941114,0.738099368,1.762457223,136,117.2990779,0.273142916,0
healthy_006,1.323047226,0.652680922,1.235133468,40,20.97696031,0.056048303,0
healthy_007,2.025926356,0.227665929,0.577341267,55,106.06954,0.04448583,0.029903952
healthy_008,-0.441442009,0.913911002,2.962603796,38,0.314362544,0.034017074,0
healthy_009,0.673391564,0.488878156,1.032957498,30,3.459377379,0.05438485,1.190241068
healthy_010,2.036870377,0.117633554,0.371107975,71,108.7345062,0.070664753,0.002016113
healthy_011,2.862472594,0.130255718,0.348678433,81,728.4823579,0.025646223,0
healthy_012,2.864906197,0.147637386,0.371466175,57,732.5754912,0.037673838,0
healthy_013,2.291433419,0.499645629,1.091276058,90,195.4422895,0.052456413,0
healthy_014,3.451618878,0.022878003,0.082352394,78,2828.051421,0.06179034,0
healthy_015,1.198227566,0.393785352,0.964494032,80,15.69418549,0.082124668,0
healthy_016,0.289464384,0.814754303,1.983846967,28,1.648774546,0.285281165,0
healthy_017,1.984191444,0.01245416,0.052127883,25,96.37241304,0.037791423,0
