"","HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM"
"sample_1",-0.060936663,0.002536323,0.217822135,0.349376463,0.04038632,0.063019431,0.128973281,-0.136829491,0.213964729,-0.078828149,0.046389069,0.116644686,-0.247986478,0.152270457,0.10228172,0.229540535,-0.048908519,-0.078223346,0.145093098,0.066375413,0.036782,0.180135313,0.117334843,-0.128367223,0.017865287,-0.276944009,-0.11098499,0.198294417,0.033450625,-0.086211043,0.163659132,0.252559294,0.128436944,0.161603855,-0.041531829,0.322908673,-0.006242175,0.056552909,-0.090392773,0.049350791,0.032419912,0.122158359,-0.010423768,-0.177792309,0.111880521,0.023579327,0.07684614,0.144275175,0.095110756,-0.071717025
"sample_2",-0.24786981,0.226389121,-0.379808849,0.063521533,0.055588146,0.208806777,-0.040783805,0.045186145,-0.261681918,0.113580026,0.036716725,-0.339103361,-0.142943003,0.224596154,-0.141030122,-0.14477407,-0.280565057,-0.097957291,-0.279810867,0.175904017,-0.132732339,-0.038397545,0.027945388,0.347206703,0.309646925,0.07284354,0.145827744,0.296668883,0.082300217,-0.088018827,-0.26789977,-0.491758294,-0.347945977,0.245714952,-0.238116369,-0.491098618,-0.258977401,0.087591999,-0.379693603,0.048317917,-0.450053368,-0.133035471,0.254137585,-0.27949125,0.375465999,-0.388128318,-0.035731359,-0.095090715,-0.263987859,-0.11421071
"sample_3",-0.397336154,-0.267773821,-0.507084754,-0.133222716,0.002956567,0.121688979,-0.492046778,-0.027245815,-0.350039535,-0.080119012,-0.312793024,-0.392871002,-0.24356713,0.091744782,-0.287357053,-0.29529255,-0.357441549,-0.312156413,-0.31404705,0.133866655,-0.298743944,-0.30695343,-0.320506166,-0.443783725,-0.295889978,-0.666885614,-0.558217554,0.362545739,-0.141178002,-0.379130552,-0.52669218,-0.609757658,-0.25965298,0.22363134,-0.252665981,-0.57405741,-0.479148835,0.237105009,-0.238361746,-0.416716472,-0.588196269,-0.552643687,0.319691972,-0.496833108,-0.527203754,-0.480304104,-0.145212482,-0.313610231,-0.100831797,-0.206498326
"sample_4",-0.04191863,0.378733521,0.395752527,0.007675455,0.05975382,0.128496646,0.212610884,-0.112825566,0.282676392,0.121204194,0.241960662,0.235663482,0.24462291,-0.112684279,0.035427465,0.166503534,0.092053477,0.262917506,0.157559561,-0.292426905,0.234205025,0.063408491,0.089858793,0.255588422,0.149549321,0.59369093,0.548309846,-0.109860699,0.09779183,0.351960606,0.392184995,0.396925874,0.111663917,-0.210712786,0.041875876,0.213256821,0.208261065,-0.016499592,0.056571926,0.225613286,0.344001376,0.136261584,0.039350975,0.318656966,0.253243389,0.344558007,0.115599612,0.170818576,-0.204600838,0.034734662
"sample_5",-0.028533816,-0.100551826,0.165351349,0.342896668,0.203981148,0.308348478,0.265827492,-0.147959864,0.184376157,0.274779042,0.161234209,-0.204091435,-0.100838108,0.270812934,0.260720914,0.273529596,-0.084116606,0.047596493,0.194460396,0.162516403,-0.014739024,0.167953383,0.11553728,0.017454416,0.080830905,-0.153410621,-0.111603775,0.253343357,0.103589574,-0.107196939,-0.004064883,-0.057238801,-0.200861993,0.278318974,-0.203730771,-0.183309429,0.263433239,0.202237093,-0.153021837,0.100818965,-0.112019127,-0.136632107,-0.161009199,0.094823516,0.286968815,0.038521164,0.139808409,0.19799311,-0.207337991,0.014474247
"sample_6",0.335709064,-0.050476015,0.488856599,-0.131960612,-0.04816259,-0.037580904,0.434925581,-0.046033958,0.418775629,0.06847541,0.154507289,0.366174305,0.255118871,-0.153692187,0.285098878,0.382131659,0.330838269,0.2866099,0.39876872,-0.223843196,0.197495306,0.370386087,0.196092878,0.254785913,0.205116627,0.33969536,0.296891868,-0.155851046,0.109272212,0.205878781,0.516855477,0.587500537,0.400243884,-0.171994249,0.190135233,0.546456313,0.415888498,-0.259536998,0.284856685,0.344580366,0.585560187,0.52910576,-0.252872279,0.383291507,0.549009884,0.452394717,0.155250217,0.407869337,-0.010286921,0.210368847
"sample_7",-0.322740369,-0.242311835,-0.404201305,-0.242341423,-0.003419453,0.084162707,-0.404360041,0.110771404,-0.257813676,-0.091023725,-0.264679793,-0.333275665,-0.100728256,0.150393102,-0.210705737,-0.208352733,-0.32355261,-0.166825636,-0.177757185,0.270153225,-0.265937573,-0.200362379,-0.204151074,-0.377659189,-0.231863668,-0.648239274,-0.494615872,0.327940954,0.05698197,-0.283444917,-0.414169955,-0.523370224,-0.266667163,0.110103992,-0.40293045,-0.449371048,-0.415062633,0.274671164,-0.133838331,-0.383598484,-0.444844121,-0.53064826,0.347575682,-0.318996119,-0.448958531,-0.453118304,0.024719604,-0.361284514,-0.051745397,-0.188771003
"sample_8",0.18919349,-0.259764966,0.504605057,-0.3031373,-0.237128454,-0.254878822,0.170366792,0.07277578,0.13885887,-0.184893004,-0.107007413,0.35094588,0.416125797,-0.373500757,0.18269773,0.230880406,0.351548484,0.421845222,0.110123106,-0.285134448,0.223013043,-0.010363308,-0.077984238,-0.326596035,-0.376803162,0.237536382,0.107824485,-0.298177344,-0.124090168,0.326731669,0.355195809,0.637171121,0.241487177,-0.266132429,-0.147541366,0.505225869,0.08468583,-0.309986198,0.372768142,0.307105142,0.600558727,0.257313494,0.009356232,0.254508066,-0.173337839,0.353464016,0.289176262,0.07172098,-0.078397562,0.001102995
"sample_9",0.057299831,-0.272397772,0.406827753,-0.036581146,0.023660895,0.014025768,0.092456071,0.201622019,0.115838336,-0.136529071,0.000879118,0.186044654,-0.075585828,-0.001064929,0.161696068,0.152849963,0.101124866,-0.125126988,0.026352539,0.100599657,0.151909911,-0.031581489,-0.064105742,-0.297993062,-0.328669889,-0.194545876,-0.140674491,-0.048615332,-0.014628418,0.050864823,0.198213865,0.209761711,-0.1962179,0.043711979,-0.261884361,0.273192447,0.146058065,-0.250234356,0.196417036,-0.024817287,0.134352121,0.129564047,-0.013816239,-0.03804571,-0.197405451,-0.074936218,0.168968944,-0.017958422,-0.01036859,0.060297365
"sample_10",0.213583487,-0.343010679,0.518206565,-0.129599341,-0.260058089,-0.179043341,0.080207321,0.031318588,0.303839618,-0.116935577,-0.135877816,0.398594009,0.433144853,-0.287074413,0.167013904,0.178500187,0.343105919,0.424012213,0.145502343,-0.303778363,0.215238402,-0.138406114,-0.122849889,-0.298087058,-0.257915505,0.424073708,0.171595573,-0.233701006,-0.158620291,0.294217607,0.369265321,0.613818547,0.119146886,-0.3274638,0.211621474,0.546572796,0.117614528,-0.26955412,0.310142965,0.170288795,0.619862062,0.307400707,0.044092069,0.240469593,-0.323059094,0.388220264,0.335139984,0.008684486,0.108049291,-0.025001162
"sample_11",-0.220632994,-0.330163953,-0.150430981,-0.205731311,0.122502326,0.252156098,-0.194007033,-0.018501846,-0.1087327,-0.216237517,-0.295831955,-0.170291128,-0.246541633,0.012304297,0.220178773,0.057368719,-0.182752682,-0.21293532,-0.127607263,-0.01077416,-0.137586384,0.043770513,-0.179317823,-0.290269484,-0.24904153,-0.513031214,-0.441132045,0.256809546,-0.187294438,-0.004212307,-0.282568874,-0.174473733,-0.222942007,0.201932677,0.045464325,-0.276574326,-0.176832502,-0.126572434,-0.094578469,-0.170281939,-0.346565445,-0.275283863,0.118556084,-0.262625207,-0.235963511,0.012871968,-0.029688389,-0.16842403,0.158249343,-0.211636592
"sample_12",-0.26622029,-0.055274794,-0.301242152,0.010502925,0.070292472,0.099449946,-0.205857433,0.162112213,-0.247317666,0.061016301,-0.059646522,-0.337691152,-0.093619762,0.171270567,-0.022488525,0.026967065,-0.319302298,-0.09222962,-0.13241407,0.318125646,-0.071693826,-0.017965889,-0.126419587,-0.182104587,-0.095098498,-0.41869966,-0.364776501,0.304254213,0.037414153,-0.197629742,-0.327593851,-0.389559021,-0.310847826,0.232863756,0.030528364,-0.429819957,-0.147382982,0.151434832,-0.084876661,-0.204016972,-0.389603466,-0.306931794,0.121594203,-0.150944263,-0.150103186,-0.265067832,0.151617751,-0.112240749,0.231361991,-0.021701806
"sample_13",-0.405101802,-0.113604728,-0.511560197,-0.017513038,0.127068429,0.209973442,-0.386733082,-0.054711028,-0.3643984,-0.047058865,-0.292956121,-0.362986339,-0.309463365,0.144764062,-0.187703199,-0.165184865,-0.444764917,-0.356199577,-0.321655737,0.258110065,-0.267239593,-0.176680714,-0.233568863,-0.184527313,-0.110694992,-0.645259621,-0.508458889,0.395133072,-0.123636673,-0.370670895,-0.516591369,-0.635975613,-0.219273987,0.294327002,-0.109801453,-0.594209331,-0.380038528,0.345809146,-0.404923007,-0.392252255,-0.618624676,-0.438961232,0.221607362,-0.387882756,-0.322129929,-0.528385888,-0.311822724,-0.26156225,0.109130427,-0.207216791
"sample_14",0.257810968,-0.406058584,0.402907944,-0.264569552,-0.061349663,-0.051409243,0.038405004,0.069215628,0.225012636,-0.235355542,-0.252919883,0.291027201,0.267684754,-0.310548617,0.199841329,0.190657745,0.176155483,0.259816998,0.097613177,-0.035874802,0.175665955,-0.107445705,-0.165412538,-0.36056497,-0.440433998,-0.414596873,-0.386887393,-0.202495224,-0.249940448,0.252765941,0.246059523,0.517735947,-0.004863255,-0.250038582,-0.210257504,0.385706027,0.138950896,-0.160822066,0.33042994,0.091666457,0.429288361,0.108511651,0.024894667,0.205010775,-0.390610921,0.264116306,0.187385274,0.10473368,-0.215935218,0.017620622
"sample_15",0.148534668,-0.227683985,0.305080209,0.372768323,0.27768001,0.041388098,0.213606667,-0.228584596,0.147359163,0.17806195,-0.01298677,0.298799967,-0.188237288,0.476226563,0.305178811,0.16098732,0.052191979,-0.164362379,0.119594878,-0.095690142,0.164328622,0.224389431,-0.019505659,-0.189637084,-0.250500255,-0.089459299,-0.145030158,-0.221502153,-0.078883192,0.236406361,0.102983893,0.304750294,0.294959266,0.130896672,0.262466063,0.392776083,0.261025254,-0.372166421,0.062666647,0.091453326,0.078614191,0.34086651,-0.19125683,0.583745824,0.317747654,0.250274455,0.348767161,0.222858981,0.350857321,0.055707278
"sample_16",0.292685595,-0.033973178,0.556571694,0.115999955,-0.217778243,-0.139818802,0.294910795,0.012987849,0.241182294,-0.103088754,0.014307806,0.306586159,0.46250247,-0.110609804,0.210562273,0.166240083,0.306155655,0.47302535,0.166640773,-0.21554663,0.218704478,0.067938954,0.015800795,-0.047969155,-0.099329118,0.518670073,0.335349656,-0.282562198,0.02920983,0.315371433,0.48195173,0.62945993,0.336991537,-0.318837782,0.092673419,0.476030864,0.256897236,-0.271164468,0.229992197,0.31803173,0.627600577,0.201364755,-0.107554387,0.419858082,0.021457605,0.475103935,0.337935322,0.079374852,0.111761135,0.049957115
"sample_17",-0.340894702,0.006656389,-0.433004527,0.160489892,0.057305192,0.133307662,-0.315446104,-0.020372706,-0.376057435,0.038185121,-0.048785073,-0.297423839,-0.190002668,0.251652227,-0.124259164,-0.058695595,-0.385121494,-0.165997505,-0.247322546,0.452707469,-0.156288043,0.00212607,-0.017418313,-0.032858809,0.166245388,-0.328804086,-0.207425866,0.333933648,0.169014573,-0.26345155,-0.400980235,-0.549787445,-0.302078859,0.265615053,-0.415489544,-0.524224048,-0.305503339,0.316570005,-0.405949797,-0.283416392,-0.53957245,-0.338891114,0.30139788,-0.298154876,0.128308797,-0.431082715,-0.081186707,-0.12943435,-0.172128912,-0.119827121
"sample_18",0.250022845,0.009428977,0.436987086,-0.143210488,-0.138667474,0.04916586,0.325655525,-0.049544822,0.130522798,-0.061131515,0.098383807,0.288750814,0.207902572,-0.30784674,0.272779433,0.36838733,0.328264445,0.290307306,0.28079675,-0.102442214,0.212967489,0.202277255,0.128584078,0.15600789,-0.027223357,0.522402337,0.435907659,-0.326256371,-0.003416911,0.367209921,0.326131028,0.496291159,0.238389398,-0.269899909,0.267244174,0.460989891,0.283779257,-0.398395512,0.253402212,0.31108834,0.548047356,0.268324173,-0.144582573,0.4223231,0.24232786,0.309857575,0.155204302,0.259507549,-0.097817408,0.165510953
